"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L1","100%","Y_L1","100%","Y_L1","100%","Y_L1","100%","Y_L1","100%","Y_L1","100%"
"2","Y_L10","96.51%","Y_L10","73.64%","Y_L12","69.19%","Y_L12","62.21%","Y_L12","60.66%","CCV5_L44","59.69%"
"3","Y_L12","66.86%","Y_L12","69.77%","Y_L10","62.02%","Y_L11","58.91%","Y_L11","58.91%","Y_L11","58.91%"
"4","Y_L36","61.05%","Y_L11","58.91%","Y_L11","58.91%","Y_L10","58.14%","Y_L10","55.81%","Y_L12","45.54%"
"5","Y_L41","59.3%","Y_L41","52.52%","F4_L4","45.35%","F4_L4","45.54%","F4_L4","41.86%","Y_L10","44.96%"
"6","Y_L11","58.91%","F4_L4","45.54%","Y_L41","43.41%","Y_L41","40.5%","Y_L41","38.37%","F4_L4","42.44%"
"7","Y_L8","53.1%","F7_L11","39.53%","F7_L11","37.21%","F7_L11","38.95%","F7_L11","34.69%","F7_L11","33.91%"
"8","Y_L24","51.55%","F8_L48","36.05%","F5_L2","35.66%","Y_L24","37.02%","F8_L48","33.33%","Y_L41","32.36%"
"9","Y_L40","50.97%","F5_L2","34.88%","F8_L48","33.91%","F8_L48","35.47%","Y_L28","32.36%","F8_L48","31.4%"
"10","Y_L45","47.48%","Y_L24","32.56%","Y_L24","32.56%","F5_L2","35.27%","F5_L2","32.17%","CCV5_L45","30.81%"
"11","Y_L14","43.99%","Y_L28","32.56%","Y_L28","31.78%","Y_L28","31.59%","CC4_L2","29.07%","CCV2_L10","30.04%"
"12","Y_L44","40.89%","Y_L42","31.01%","Y_L42","29.84%","Y_L36","29.65%","Y_L24","28.68%","CCV5_L40","28.49%"
"13","Y_L28","40.5%","Y_L16","30.04%","Y_L36","28.1%","Y_L42","28.68%","Y_L16","26.16%","CCV5_L1","27.71%"
"14","Y_L16","39.34%","F2_L3","27.91%","F2_L24","27.33%","F2_L24","28.49%","Y_L42","25.39%","F5_L2","27.71%"
"15","Y_L46","39.15%","F2_L24","27.52%","Y_L16","27.13%","Y_L16","27.33%","F8_L40","25%","F8_L40","25%"
