"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L54","63.95%","Y_L54","46.71%","Y_L60","46.32%","Y_L90","43.22%","Y_L90","41.09%","CCV5_L80","40.31%"
"2","Y_L72","54.46%","Y_L60","45.93%","Y_L90","43.8%","F4_L78","41.67%","Y_L54","38.57%","CCV5_L81","32.17%"
"3","Y_L52","54.26%","F4_L78","42.25%","F4_L78","42.44%","Y_L54","39.53%","F4_L78","37.21%","Y_L54","30.62%"
"4","Y_L60","54.07%","Y_L90","42.05%","Y_L54","41.28%","Y_L60","37.98%","Y_L60","32.36%","CCV5_L93","30.62%"
"5","Y_L53","53.88%","Y_L48","37.79%","Y_L72","36.82%","Y_L48","36.05%","Y_L72","31.2%","F4_L78","29.07%"
"6","Y_L90","53.1%","Y_L72","35.85%","Y_L48","35.85%","Y_L72","35.47%","Y_L48","30.81%","Y_L90","28.1%"
"7","Y_L85","49.42%","Y_L53","29.65%","F8_L53","27.91%","F8_L77","29.07%","Y_L91","25.19%","CCV5_L52","26.94%"
"8","Y_L48","47.48%","Y_L52","29.46%","F8_L77","27.13%","F7_L64","26.16%","Y_L84","23.45%","CCV6_L52","26.74%"
"9","Y_L89","45.35%","Y_L91","28.68%","Y_L91","26.74%","F7_L68","26.16%","F7_L64","23.06%","F7_L64","25.19%"
"10","Y_L79","44.96%","F7_L63","28.29%","F7_L68","26.55%","Y_L91","26.16%","Y_L71","22.48%","CCV6_L88","25.19%"
"11","Y_L87","44.38%","F7_L64","28.29%","F7_L64","26.36%","F8_L53","25.97%","Y_L52","21.71%","CCV5_L56","23.45%"
"12","Y_L55","41.86%","F8_L53","28.1%","Y_L84","25.58%","NMEU1_L48","25.58%","Y_L53","21.51%","CCV6_L62","23.26%"
"13","Y_L91","41.28%","F7_L68","27.13%","Y_L52","25.19%","Y_L84","25.19%","NMEU1_L48","21.32%","CCV5_L88","22.87%"
"14","Y_L51","40.12%","F8_L49","26.55%","F8_L84","24.22%","Y_L52","24.42%","F7_L68","21.32%","CCV5_L57","21.71%"
"15","Y_L86","38.95%","Y_L55","26.36%","Y_L71","24.03%","F7_L91","24.22%","F8_L84","21.32%","Y_L60","21.71%"
