"","h1","h6","h12","h18","h24","h30","h36","h42","h48"
"m1",0.280614748525033,0.489710422164724,0.584501570569647,0.805542282628279,0.910506823550353,1.2874940583888,2.03553688182845,1.83461358537911,1.36941227462832
"m2",0.291397957935309,0.499423387693622,0.606090684106296,0.802949809801042,0.816472719861757,0.838586977028164,0.831365241791494,0.845790829467957,0.923347987862331
"m3",0.290981387263526,0.495368610850268,0.611669174787899,0.841586512250051,0.868394807103645,0.928171292822283,0.857231307622099,0.934994435622293,1.01810915866583
"m4",0.290880647198325,0.507085666774593,0.594310114736997,0.835796737793111,0.84330416918647,0.825225878096345,0.818066507785102,0.909097526267546,0.986487245075619
"m5",0.295194185616409,0.516550409763641,0.597504765598589,0.80978832771551,0.818469130944477,0.827436009519946,0.816147829497687,0.896812656883685,0.977885604651986
"m6",0.29352125982021,0.513513360007981,0.617910687649816,0.782530763914051,0.804717081506342,0.814351317642526,0.796590056934938,0.811291191552039,0.872794280977318
