"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L54","72.87%","Y_L54","65.7%","Y_L54","59.3%","Y_L54","55.81%","Y_L54","56.59%","CCV5_L45","53.49%"
"2","Y_L36","63.37%","Y_L66","60.27%","Y_L24","51.94%","Y_L24","53.49%","Y_L24","54.26%","Y_L54","51.74%"
"3","Y_L24","59.88%","Y_L24","58.14%","Y_L36","45.93%","Y_L60","52.71%","Y_L36","48.06%","CCV5_L44","48.84%"
"4","Y_L66","57.95%","Y_L36","44.96%","Y_L66","43.41%","Y_L36","49.22%","Y_L60","46.32%","Y_L24","46.32%"
"5","Y_L42","54.65%","F8_L53","43.8%","Y_L42","42.25%","Y_L42","45.54%","Y_L42","42.83%","CCV5_L69","38.95%"
"6","Y_L52","54.46%","Y_L41","41.09%","Y_L60","39.73%","Y_L66","40.7%","Y_L66","39.92%","F8_L53","38.18%"
"7","Y_L41","53.49%","Y_L42","40.89%","F2_L24","39.15%","F8_L49","40.5%","Y_L71","33.14%","CCV5_L40","34.3%"
"8","Y_L65","50%","F8_L49","38.57%","F8_L40","38.57%","F7_L63","40.12%","F8_L49","32.95%","F2_L24","33.91%"
"9","Y_L44","48.26%","Y_L55","36.24%","F7_L63","35.85%","F2_L24","37.79%","F8_L40","30.81%","CCV5_L56","33.72%"
"10","Y_L45","45.16%","Y_L60","35.85%","Y_L71","35.85%","F7_L64","36.82%","F7_L64","30.43%","CCV6_L28","33.53%"
"11","Y_L46","45.16%","F8_L59","35.66%","Y_L55","35.47%","F8_L40","36.63%","Y_L29","28.68%","CCV6_L40","33.33%"
"12","Y_L60","44.96%","F4_L62","34.69%","F7_L64","34.5%","F8_L53","34.88%","NMEU1_L47","28.68%","F8_L49","33.33%"
"13","Y_L68","44.57%","F6_L71","34.5%","F8_L53","33.53%","Y_L71","34.3%","F8_L53","28.1%","Y_L42","32.95%"
"14","Y_L67","43.22%","F6_L62","34.3%","F8_L55","33.33%","F8_L55","33.33%","NMEU3_L71","27.91%","CCV5_L57","32.95%"
"15","Y_L53","39.15%","F8_L70","34.11%","F8_L49","32.95%","NMEU1_L47","32.36%","Y_L46","27.33%","CCV6_L69","32.56%"
