"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L54","70.93%","Y_L36","64.53%","Y_L36","61.24%","Y_L36","68.99%","Y_L36","65.5%","Y_L54","48.45%"
"2","Y_L36","69.77%","Y_L54","60.27%","Y_L54","56.4%","Y_L54","51.36%","Y_L54","51.36%","CCV5_L44","44.19%"
"3","Y_L77","62.02%","Y_L66","52.91%","Y_L72","46.32%","Y_L72","49.81%","Y_L72","44.96%","CCV6_L40","40.5%"
"4","Y_L60","55.81%","Y_L77","49.42%","Y_L60","45.35%","Y_L60","44.57%","Y_L77","41.67%","Y_L36","38.76%"
"5","Y_L52","54.46%","Y_L60","45.74%","Y_L77","44.38%","Y_L77","44.19%","Y_L42","39.15%","CCV5_L45","37.4%"
"6","Y_L42","51.74%","Y_L30","43.99%","Y_L42","39.92%","Y_L42","39.73%","Y_L60","37.98%","CCV5_L69","36.24%"
"7","Y_L44","51.74%","F8_L53","43.6%","Y_L66","38.57%","F8_L53","37.6%","Y_L66","34.69%","CCV5_L41","33.72%"
"8","Y_L30","50.97%","Y_L42","39.15%","F8_L40","37.98%","F8_L40","34.88%","Y_L43","30.43%","CCV5_L40","32.95%"
"9","Y_L41","50.97%","Y_L43","38.57%","F8_L53","37.6%","F7_L68","33.53%","Y_L30","29.46%","F7_L64","31.98%"
"10","Y_L66","50.19%","Y_L55","38.37%","Y_L30","34.88%","F7_L63","33.14%","F8_L53","28.68%","CCV5_L58","30.62%"
"11","Y_L46","49.81%","Y_L72","37.6%","Y_L43","34.88%","Y_L66","32.95%","F3_L67","27.13%","CCV5_L56","30.23%"
"12","Y_L43","48.45%","F6_L75","35.85%","F8_L36","34.3%","Y_L30","32.56%","NMEU1_L47","26.74%","Y_L77","29.84%"
"13","Y_L68","46.71%","Y_L41","31.59%","Y_L41","31.4%","Y_L43","31.98%","F8_L40","25.78%","Y_L42","29.07%"
"14","Y_L53","45.93%","F7_L35","30.81%","Y_L55","28.88%","F8_L73","31.98%","Y_L55","25.78%","CCV5_L57","27.71%"
"15","Y_L76","45.54%","Y_L67","30.81%","F4_L62","28.49%","F3_L67","31.4%","F6_L75","25.39%","CCV5_L52","27.33%"
