"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L36","67.25%","Y_L36","59.3%","Y_L36","59.88%","Y_L36","68.02%","Y_L36","60.85%","CCV5_L80","46.12%"
"2","Y_L54","66.86%","Y_L54","54.65%","Y_L54","51.55%","Y_L54","49.61%","Y_L54","50.19%","Y_L54","45.35%"
"3","Y_L79","59.5%","Y_L60","50%","Y_L60","50.19%","Y_L60","45.54%","Y_L72","40.31%","Y_L36","36.43%"
"4","Y_L41","58.33%","Y_L42","44.57%","Y_L72","41.86%","Y_L72","42.83%","Y_L60","36.82%","CCV5_L69","34.11%"
"5","Y_L60","57.56%","Y_L66","41.86%","Y_L42","38.57%","F4_L78","37.21%","F4_L78","32.36%","CCV5_L81","33.33%"
"6","Y_L52","56.4%","Y_L72","39.53%","Y_L66","35.47%","F7_L63","36.05%","Y_L42","31.78%","CCV5_L45","33.14%"
"7","Y_L46","52.52%","Y_L43","37.98%","F8_L77","35.27%","Y_L42","35.08%","Y_L83","29.84%","CCV5_L40","32.95%"
"8","Y_L42","51.74%","Y_L55","36.24%","Y_L43","33.53%","F8_L40","32.56%","NMEU1_L46","27.13%","F4_L78","31.4%"
"9","Y_L44","51.16%","F4_L78","35.66%","F4_L78","33.33%","F8_L53","31.98%","Y_L78","26.74%","CCV5_L41","31.2%"
"10","Y_L66","50.58%","Y_L67","35.27%","F8_L40","32.17%","F8_L77","31.59%","F8_L40","26.36%","CCV6_L40","30.81%"
"11","Y_L45","48.06%","Y_L77","35.08%","Y_L83","31.01%","F7_L64","30.81%","Y_L43","26.36%","CCV6_L80","30.81%"
"12","Y_L53","46.71%","Y_L41","33.33%","Y_L41","30.62%","NMEU1_L36","30.04%","Y_L66","26.16%","CCV5_L52","28.68%"
"13","Y_L72","46.32%","Y_L78","30.62%","F8_L36","29.84%","F7_L68","29.65%","NMEU1_L36","24.81%","F7_L64","25.78%"
"14","Y_L77","46.12%","F7_L63","30.04%","Y_L55","29.84%","Y_L41","28.29%","NMEU1_L47","24.42%","CCV5_L44","25.58%"
"15","Y_L40","45.93%","F8_L40","29.84%","F7_L63","29.65%","Y_L83","28.1%","Y_L46","24.22%","Y_L46","24.81%"
