"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L54","77.52%","Y_L54","70.54%","Y_L54","62.6%","Y_L54","59.5%","Y_L54","59.69%","Y_L54","59.3%"
"2","Y_L65","71.9%","Y_L65","65.31%","Y_L24","57.75%","Y_L24","58.33%","Y_L24","58.33%","CCV5_L45","54.65%"
"3","Y_L36","64.34%","Y_L24","62.4%","Y_L42","48.64%","Y_L42","52.13%","Y_L42","48.06%","Y_L24","54.07%"
"4","Y_L55","61.05%","F4_L62","45.74%","Y_L36","45.54%","Y_L60","47.29%","Y_L60","45.54%","CCV5_L44","49.22%"
"5","Y_L52","60.85%","Y_L42","45.16%","Y_L60","44.77%","Y_L23","46.9%","Y_L36","42.83%","CCV10_L22","43.02%"
"6","Y_L44","60.27%","F8_L59","44.77%","F2_L24","44.19%","F7_L64","45.54%","Y_L23","41.86%","CCV6_L40","39.73%"
"7","Y_L42","59.69%","F8_L53","44.38%","F7_L64","43.6%","F8_L49","45.35%","F8_L49","40.12%","F8_L53","39.34%"
"8","Y_L41","59.5%","Y_L23","42.05%","Y_L23","42.64%","F2_L24","43.99%","F7_L64","35.27%","F2_L24","37.79%"
"9","Y_L24","59.3%","Y_L41","42.05%","F8_L49","41.86%","F7_L63","39.53%","F8_L40","32.95%","CCV5_L57","37.6%"
"10","Y_L23","56.59%","F6_L62","42.05%","Y_L55","39.34%","Y_L36","39.34%","F7_L20","32.56%","CCV5_L56","37.4%"
"11","Y_L45","52.13%","F8_L55","41.28%","F8_L55","38.76%","F8_L53","38.18%","F8_L53","31.98%","Y_L42","35.85%"
"12","Y_L46","50.39%","F7_L64","41.28%","Y_L41","37.79%","NMEU1_L47","37.98%","NMEU1_L47","29.65%","F8_L49","34.88%"
"13","Y_L61","49.81%","F8_L49","41.09%","F7_L63","37.4%","F8_L55","37.98%","F2_L24","29.46%","F7_L64","34.11%"
"14","Y_L56","48.06%","Y_L55","40.5%","F8_L53","36.63%","F8_L40","37.79%","Y_L41","29.46%","CCV3_L50","33.14%"
"15","Y_L57","43.41%","F7_L20","39.92%","Y_L29","35.85%","F7_L20","37.02%","Y_L55","29.46%","Y_L46","31.2%"
