"","h1","h6","h12","h18","h24","h30","h36","h42","h48"
"m1","1","1","1","3","6","E","E","E","5"
"m2","2","3","4","2","2","4","2","2","2"
"m3","5","2","6","5","5","5","4","5","3"
"m4","3","6","2","6","4","2","3","4","4"
"m5","E","5","3","4","3","3","5","3","6"
"m6","4","4","5","1","1","1","1","1","1"
