"","m1_name","m1_freq","m2_name","m2_freq","m3_name","m3_freq","m4_name","m4_freq","m5_name","m5_freq","m6_name","m6_freq"
"1","Y_L12","99.22%","Y_L12","99.81%","Y_L12","95.93%","Y_L12","94.57%","Y_L12","98.64%","Y_L12","87.98%"
"2","Y_L10","92.05%","Y_L11","69.19%","Y_L11","67.44%","Y_L11","64.53%","Y_L11","65.89%","Y_L11","59.88%"
"3","Y_L41","76.74%","Y_L42","55.81%","Y_L24","56.98%","Y_L24","52.71%","F8_L49","50.97%","CCV5_L45","52.13%"
"4","Y_L53","75.39%","F8_L51","55.23%","F8_L49","51.74%","F8_L12","51.94%","Y_L13","48.06%","CCV5_L44","45.16%"
"5","Y_L44","75.19%","Y_L24","53.29%","F7_L11","51.16%","F8_L49","50.78%","Y_L42","46.32%","F8_L49","43.8%"
"6","Y_L45","73.84%","F8_L49","52.52%","F2_L24","46.51%","Y_L42","45.35%","Y_L24","45.74%","CCV8_L31","40.7%"
"7","Y_L46","72.29%","Y_L53","51.94%","F8_L12","45.16%","F2_L24","44.57%","F2_L24","43.02%","Y_L42","37.79%"
"8","Y_L11","66.86%","Y_L13","50%","Y_L13","44.57%","F8_L41","42.05%","F7_L11","41.86%","CCV6_L40","37.4%"
"9","Y_L36","63.76%","F2_L24","48.45%","Y_L42","43.6%","F7_L11","41.67%","F8_L12","39.53%","F2_L24","37.02%"
"10","Y_L13","61.05%","Y_L45","47.29%","F8_L41","42.05%","F8_L28","39.34%","CC5_L10","38.57%","Y_L24","36.05%"
"11","Y_L42","60.08%","F7_L11","46.51%","F8_L28","37.79%","F3_L10","38.57%","F8_L41","35.66%","F8_L41","35.47%"
"12","Y_L52","59.88%","Y_L44","45.93%","Y_L53","37.6%","Y_L13","37.79%","CC5_L9","35.47%","Y_L46","34.3%"
"13","Y_L6","58.14%","F3_L11","45.16%","F3_L10","36.24%","NMEU1_L6","37.02%","NMEU1_L36","33.72%","CCV5_L41","33.91%"
"14","Y_L8","55.62%","F8_L41","44.38%","F3_L11","36.24%","F7_L9","36.05%","CC6_L49","33.33%","F7_L11","33.72%"
"15","Y_L43","54.65%","Y_L10","43.22%","F8_L40","35.85%","Y_L46","35.47%","Y_L43","32.75%","CCV3_L50","33.14%"
